element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,3,"=""""","=""""","=""291.942""","=""""","=""""","=""3.08e+06""",C+,"=""320287.2""","=""354530.5""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""291.942""","=""""","=""""","=""1.47e+05""",C,"=""320287.2""","=""354530.5""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""291.952""","=""""","=""""","=""2.93e+06""",C+,"=""320288.3""","=""354530.5""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s2.6d""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,5,"=""""","=""""","=""292.438""","=""""","=""""","=""5.79e+07""",A,"=""712463.2""","=""[746648.5]""","=""1s2.6p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""292.508""","=""""","=""""","=""6.94e+07""",A,"=""712472.6""","=""[746649.7]""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""292.518""","=""""","=""""","=""1.16e+07""",A,"=""712472.6""","=""[746648.5]""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,3,"=""""","=""""","=""294.240""","=""""","=""""","=""1.36e+07""",C+,"=""320978.2""","=""354954.1""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""295.010""","=""""","=""""","=""1.45e+07""",C+,"=""321066.8""","=""354954.1""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""295.010""","=""""","=""""","=""9.64e+05""",C+,"=""321066.8""","=""354954.1""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""297.255""","=""""","=""""","=""6.67e+07""",B,"=""309131.2""","=""342762.5""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,5,"=""297.452""","=""0.005""","=""""","=""""","=""90l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4829""",
N,3,"=""""","=""""","=""297.733""","=""""","=""""","=""3.32e+07""",B,"=""309185.2""","=""342762.5""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""297.884""","=""""","=""""","=""1.66e+07""",B,"=""309131.2""","=""342691.5""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,5,"=""298.078""","=""0.005""","=""""","=""""","=""150w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4829""",
N,5,"=""298.131""","=""0.005""","=""""","=""""","=""250w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4829""",
N,3,"=""""","=""""","=""298.364""","=""""","=""""","=""8.24e+07""",B,"=""309185.2""","=""342691.5""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,5,"=""299.843""","=""0.005""","=""""","=""""","=""60w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4829""",
N,2,"=""300.683""","=""""","=""300.6830""","=""""","=""220""","=""9.19e+07""",B,"=""164610.76""","=""197858.69""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.4s""","=""1P*""","=""1""",,"=""T5520,T6385""","=""L3513""",
N,2,"=""""","=""""","=""302.3669""","=""""","=""""","=""2.27e+07""",B,"=""178273.38""","=""211336.16""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T5520""","=""""",
N,5,"=""""","=""""","=""302.661""","=""""","=""""","=""2.41e+06""",B+,"=""713279.3""","=""[746309.9]""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""302.682""","=""""","=""""","=""2.16e+07""",B+,"=""713281.5""","=""[746309.9]""","=""1s2.6d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""302.697""","=""""","=""""","=""2.41e+07""",B+,"=""713279.3""","=""[746306.0]""","=""1s2.6d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""304.860""","=""""","=""""","=""2.83e+07""",A,"=""712463.2""","=""[745255.6]""","=""1s2.6p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""304.947""","=""""","=""""","=""5.65e+07""",A,"=""712472.6""","=""[745255.6]""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""305.162""","=""""","=""""","=""7.82e+06""",A,"=""[679712.7]""","=""712472.6""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""305.208""","=""""","=""""","=""7.04e+07""",A,"=""679717.6""","=""712472.6""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
N,4,"=""""","=""""","=""305.220""","=""""","=""""","=""1.33e+07""",B,"=""465291.8""","=""498045.5""","=""1s2.2p.(2P*).3s""","=""3P*""","=""0""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,5,"=""""","=""""","=""305.250""","=""""","=""""","=""7.82e+07""",A,"=""[679712.7]""","=""712463.2""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
N,3,"=""""","=""""","=""305.387""","=""""","=""""","=""3.22e+05""",C+,"=""376750.4""","=""409486.2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""305.765""","=""""","=""""","=""3.21e+04""",C,"=""376750.4""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""305.810""","=""""","=""""","=""3.21e+05""",C+,"=""376795.7""","=""409486.2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""305.960""","=""""","=""""","=""3.95e+07""",B,"=""465371.0""","=""498045.5""","=""1s2.2p.(2P*).3s""","=""3P*""","=""1""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""306.189""","=""""","=""""","=""2.05e+05""",B,"=""376795.7""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""306.283""","=""""","=""""","=""3.18e-02""",C,"=""48.7""","=""32688.8""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p2""","=""1S""","=""0""",M1,"=""T7333""","=""""",
N,3,"=""""","=""""","=""306.701""","=""""","=""""","=""1.27e+04""",C,"=""376795.7""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""306.763""","=""""","=""""","=""4.01e+05""",B,"=""376856.8""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""307.055""","=""""","=""""","=""1.55e-04""",D,"=""130.8""","=""32688.8""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p2""","=""1S""","=""0""",E2,"=""T7333""","=""""",
N,3,"=""""","=""""","=""307.277""","=""""","=""""","=""1.14e+05""",C+,"=""376856.8""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""307.519""","=""""","=""""","=""6.48e+07""",B,"=""465536.6""","=""498045.5""","=""1s2.2p.(2P*).3s""","=""3P*""","=""2""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""307.825""","=""""","=""307.827""","=""""","=""90""","=""3.91e+08""",B,"=""521862.8""","=""554339.1""","=""1s2.2s.4f""","=""1F*""","=""3""","=""1s2.2s.5g""","=""1G""","=""4""",,"=""T5600c20""","=""L4738""",
N,3,"=""""","=""""","=""307.941""","=""""","=""""","=""6.22e+04""",C+,"=""320978.2""","=""353442.5""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""307.959""","=""""","=""""","=""6.22e+05""",B,"=""320978.2""","=""353440.6""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""308.114""","=""""","=""""","=""5.02e+05""",B,"=""376945.2""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""308.784""","=""""","=""""","=""5.55e+05""",B,"=""321066.8""","=""353442.5""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""310.914""","=""""","=""""","=""5.19e+04""",C+,"=""368578.3""","=""400732.2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""311.257""","=""""","=""""","=""7.19e+04""",C+,"=""368514.4""","=""400632.9""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""311.307""","=""""","=""""","=""1.78e+07""",B,"=""342691.5""","=""374804.8""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""311.874""","=""""","=""""","=""7.08e+06""",B,"=""342691.5""","=""374746.4""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""311.877""","=""""","=""""","=""2.29e+04""",C,"=""368578.3""","=""400632.9""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""311.879""","=""""","=""""","=""2.84e+07""",C+,"=""484498.2""","=""516552.6""","=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""1s2.2s.4f""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""311.905""","=""""","=""""","=""2.86e+04""",D,"=""368514.4""","=""400566.2""","=""2s.2p.(3P*).4s""","=""4P*""","=""1/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""311.997""","=""""","=""""","=""3.54e+06""",B,"=""342762.5""","=""374804.8""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""312.059""","=""""","=""""","=""1.20e+05""",B,"=""368696.3""","=""400732.2""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""312.528""","=""""","=""""","=""1.42e+05""",C+,"=""368578.3""","=""400566.2""","=""2s.2p.(3P*).4s""","=""4P*""","=""3/2""","=""2p2.(3P).3s""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""312.567""","=""""","=""""","=""1.41e+07""",B,"=""342762.5""","=""374746.4""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""312.5920""","=""""","=""""","=""6.11e+05""",D,"=""164610.76""","=""196592.07""","=""2s2.2p.3p""","=""1P""","=""1""","=""2s2.2p.4s""","=""3P*""","=""1""",,"=""T6385""","=""""",
N,4,"=""""","=""""","=""312.743""","=""""","=""""","=""2.98e+07""",C+,"=""484594.9""","=""516560.8""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2s.4f""","=""3F*""","=""3""",,"=""T5633LS""","=""""",
N,4,"=""""","=""""","=""312.823""","=""""","=""""","=""5.23e+06""",C+,"=""484594.9""","=""516552.6""","=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""1s2.2s.4f""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""313.030""","=""""","=""""","=""7.63e+04""",C+,"=""368696.3""","=""400632.9""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""2p2.(3P).3s""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""""","=""314.119""","=""""","=""""","=""3.31e+07""",C+,"=""484746.2""","=""516572.0""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""4""",,"=""T5633LS""","=""""",
N,4,"=""""","=""""","=""314.230""","=""""","=""""","=""3.69e+06""",C+,"=""484746.2""","=""516560.8""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""3""",,"=""T5633LS""","=""""",
N,4,"=""""","=""""","=""314.311""","=""""","=""""","=""1.46e+05""",C,"=""484746.2""","=""516552.6""","=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""2""",,"=""T5633LS""","=""""",
N,5,"=""""","=""""","=""315.976""","=""""","=""""","=""1.03e+08""",A,"=""678300.4""","=""709939.2""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""""","=""316.137""","=""""","=""""","=""2.05e+08""",A,"=""678316.5""","=""709939.2""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,2,"=""""","=""""","=""317.687""","=""""","=""""","=""9.33e-04""",D,"=""15316.2""","=""46784.6""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p3""","=""5S*""","=""2""",,"=""T4899""","=""""",
N,2,"=""""","=""""","=""319.0194""","=""""","=""""","=""3.30e+05""",D,"=""166521.69""","=""197858.69""","=""2s2.2p.3p""","=""3D""","=""1""","=""2s2.2p.4s""","=""1P*""","=""1""",,"=""T6385""","=""""",
N,2,"=""""","=""""","=""319.6391""","=""""","=""""","=""2.09e+05""",D,"=""166582.45""","=""197858.69""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.4s""","=""1P*""","=""1""",,"=""T6385""","=""""",
N,3,"=""""","=""""","=""321.933""","=""""","=""""","=""3.15e+07""",B,"=""378432.8""","=""409486.2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""322.352""","=""""","=""""","=""3.14e+07""",B,"=""378432.8""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""322.920""","=""""","=""""","=""3.12e+07""",B,"=""378432.8""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,5,"=""""","=""""","=""327.851""","=""""","=""""","=""1.03e+07""",B,"=""731425.4""","=""[761918.3]""","=""1s2.7s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""3/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""""","=""327.872""","=""""","=""""","=""1.03e+07""",B,"=""731425.4""","=""[761916.3]""","=""1s2.7s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""1/2""",,"=""T3225LS""","=""""",
N,3,"=""""","=""""","=""330.403""","=""""","=""""","=""5.51e+07""",B,"=""311690.3""","=""341947.7""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""330.663""","=""""","=""""","=""6.59e+07""",B,"=""311715.2""","=""341948.8""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""330.675""","=""""","=""""","=""1.10e+07""",B,"=""311715.2""","=""341947.7""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""331.1418""","=""""","=""""","=""1.09e+06""",B,"=""166521.69""","=""196711.54""","=""2s2.2p.3p""","=""3D""","=""1""","=""2s2.2p.4s""","=""3P*""","=""2""",,"=""T6385n""","=""""",
N,3,"=""""","=""""","=""331.183""","=""""","=""""","=""4.54e+06""",B,"=""379300.1""","=""409486.2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""331.627""","=""""","=""""","=""1.13e+07""",B,"=""379300.1""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""331.674""","=""""","=""""","=""2.26e+07""",B,"=""379344.8""","=""409486.2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""331.8097""","=""""","=""""","=""1.68e+07""",B,"=""166582.45""","=""196711.54""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.4s""","=""3P*""","=""2""",,"=""T6385n""","=""""",
N,3,"=""""","=""""","=""332.119""","=""""","=""""","=""3.60e+06""",B,"=""379344.8""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""332.4575""","=""""","=""""","=""2.84e+07""",B,"=""166521.69""","=""196592.07""","=""2s2.2p.3p""","=""3D""","=""1""","=""2s2.2p.4s""","=""3P*""","=""1""",,"=""T6385n""","=""""",
N,3,"=""""","=""""","=""332.703""","=""""","=""""","=""1.21e+07""",B,"=""379397.6""","=""409445.8""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""332.722""","=""""","=""""","=""8.06e+06""",B,"=""379344.8""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""332.8724""","=""""","=""""","=""9.79e+07""",B,"=""166678.64""","=""196711.54""","=""2s2.2p.3p""","=""3D""","=""3""","=""2s2.2p.4s""","=""3P*""","=""2""",,"=""T6385n""","=""""",
N,3,"=""""","=""""","=""332.949""","=""""","=""""","=""2.59e+06""",B,"=""267238.4""","=""297264.4""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""332.9701""","=""""","=""""","=""2.01e+06""",D,"=""144187.94""","=""174212.03""","=""2s.2p3""","=""1D*""","=""2""","=""2s2.2p.3p""","=""1D""","=""2""",,"=""T7333""","=""""",
N,3,"=""""","=""""","=""333.011""","=""""","=""""","=""2.33e+07""",B,"=""267244.0""","=""297264.4""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""333.0317""","=""""","=""""","=""1.18e+08""",B,"=""166521.69""","=""196540.23""","=""2s2.2p.3p""","=""3D""","=""1""","=""2s2.2p.4s""","=""3P*""","=""0""",,"=""T6385n""","=""""",
N,2,"=""""","=""""","=""333.1307""","=""""","=""""","=""8.83e+07""",B,"=""166582.45""","=""196592.07""","=""2s2.2p.3p""","=""3D""","=""2""","=""2s2.2p.4s""","=""3P*""","=""1""",,"=""T6385n""","=""""",
N,3,"=""""","=""""","=""333.307""","=""""","=""""","=""1.87e+07""",B,"=""379397.6""","=""409391.3""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""334.209""","=""""","=""""","=""2.56e+07""",B,"=""267238.4""","=""297151.2""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""334.276""","=""""","=""""","=""3.80e+07""",B,"=""297151.2""","=""327058.0""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""335.398""","=""""","=""""","=""7.66e+07""",B,"=""287529.4""","=""317336.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""335.432""","=""""","=""""","=""5.51e+07""",B,"=""287591.5""","=""317395.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""335.546""","=""""","=""""","=""7.51e+07""",B,"=""297264.4""","=""327058.0""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""335.878""","=""""","=""""","=""3.05e+07""",B,"=""287529.4""","=""317293.6""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""336.098""","=""""","=""""","=""2.44e+07""",B,"=""287591.5""","=""317336.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""336.580""","=""""","=""""","=""1.52e+08""",B,"=""287591.5""","=""317293.6""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""336.734""","=""""","=""336.736""","=""""","=""120""","=""1.27e+08""",B,"=""287706.9""","=""317395.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""",,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""""","=""337.407""","=""""","=""""","=""8.13e+07""",B,"=""287706.9""","=""317336.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""""","=""340.8127""","=""""","=""""","=""1.91e+07""",B+,"=""148940.17""","=""178273.38""","=""2s2.2p.3s""","=""3P*""","=""1""","=""2s2.2p.3p""","=""1S""","=""0""",,"=""T7333""","=""""",
N,2,"=""343.715""","=""""","=""343.7145""","=""""","=""360""","=""1.91e+08""",B+,"=""149187.80""","=""178273.38""","=""2s2.2p.3s""","=""1P*""","=""1""","=""2s2.2p.3p""","=""1S""","=""0""",,"=""T7333""","=""L3513""",
N,5,"=""""","=""""","=""343.996""","=""""","=""""","=""2.40e+07""",B,"=""[733009.2]""","=""762071""","=""1s2.7p""","=""2P*""","=""3/2""","=""1s2.10d""","=""2D""","=""5/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""""","=""344.198""","=""""","=""""","=""2.00e+07""",B,"=""[733003.3]""","=""762048""","=""1s2.7p""","=""2P*""","=""1/2""","=""1s2.10d""","=""2D""","=""3/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""""","=""344.268""","=""""","=""""","=""3.99e+06""",B,"=""[733009.2]""","=""762048""","=""1s2.7p""","=""2P*""","=""3/2""","=""1s2.10d""","=""2D""","=""3/2""",,"=""T3225LS""","=""""",
N,4,"=""""","=""""","=""344.361""","=""""","=""""","=""3.46e+07""",B,"=""465371.0""","=""494402.0""","=""1s2.2p.(2P*).3s""","=""3P*""","=""1""","=""1s2.2p.(2P*).3p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,3,"=""""","=""""","=""344.362""","=""""","=""""","=""2.28e+05""",B,"=""309131.2""","=""338162.1""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s2.5p""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""344.459""","=""""","=""""","=""9.10e+05""",B,"=""309131.2""","=""338153.9""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s2.5p""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
